Vehicle_ID,Time,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
511,334,3341,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.1,3342,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.2,3343,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.3,3344,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.4,3345,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.5,3346,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.6,3347,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.7,3348,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.8,3349,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,334.9,3350,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335,3351,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.1,3352,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.2,3353,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.3,3354,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.4,3355,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.5,3356,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.6,3357,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.7,3358,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
511,335.8,3359,909,1.12E+12,-8.3810856,348.7655712,6452364.302,1873843.042,4.572,2.31648,2,0,0,2,108,201,0,4,4,1,509,528,7.019544,9999.99,lankershim
